DATE;MATURITY;STRIKE;PRICE
2014/04/01;2014/04/07;2068.48;1268.59
2014/04/01;2014/04/07;2413.23;936.83
2014/04/01;2014/04/07;2757.98;621.99
2014/04/01;2014/04/07;3016.54;407.05
2014/04/01;2014/04/07;3585.37;77.05
2014/04/01;2014/04/07;3964.59;15.1
2014/04/01;2014/04/07;4481.71;1.87
2014/04/01;2014/04/07;4998.83;0.35
2014/04/01;2014/04/07;5688.33;0.05
2014/04/01;2014/04/07;6033.07;0.02
2014/04/01;2014/04/07;6377.82;0.01
2014/04/01;2014/04/07;6722.57;0.01
2014/04/01;2014/04/07;6894.94;0.01
